Stock,Portfolio,Beta
GODREJPROP.NS,IIP,0.557560548082599
GODREJPROP.NS,CPI,0.7164519931440405
ITI.NS,GDP,0.9005915187906033
ITI.NS,IIP,0.6709793175833684
ITI.NS,CPI,0.6746189423247345
CHENNPETRO.NS,GDP,0.6876513701723372
CHENNPETRO.NS,IIP,0.5736916899918616
CHENNPETRO.NS,CPI,0.6190616206928693
IPCALAB.NS,GDP,0.42099569998027786
IPCALAB.NS,IIP,0.24936395730281902
IPCALAB.NS,CPI,0.4441580157341199
JSL.NS,GDP,0.9331404904847737
JSL.NS,IIP,0.7182479549836442
JSL.NS,CPI,0.6650069296531346
BLUEDART.NS,GDP,0.4149249060325237
BLUEDART.NS,IIP,0.2847307263178642
BLUEDART.NS,CPI,0.3599054332760227
WOCKPHARMA.NS,GDP,0.9866488069195258
WOCKPHARMA.NS,IIP,0.620058745883908
WOCKPHARMA.NS,CPI,0.8017055272859438
KIRLOSENG.NS,GDP,0.619579468485188
KIRLOSENG.NS,IIP,0.4166346154003081
KIRLOSENG.NS,CPI,0.4681723124054457
POONAWALLA.NS,GDP,0.8372061692491795
POONAWALLA.NS,IIP,0.596261727303911
POONAWALLA.NS,CPI,0.6244003677364095
APOLLOHOSP.NS,GDP,0.5220238509330405
APOLLOHOSP.NS,IIP,0.2543031445240724
APOLLOHOSP.NS,CPI,0.4458368651068403
JUBLPHARMA.NS,GDP,0.7661443477535445
JUBLPHARMA.NS,IIP,0.505491179814314
JUBLPHARMA.NS,CPI,0.6209281646383473
ACC.NS,GDP,0.9045553357534795
ACC.NS,IIP,0.4458686530833042
ACC.NS,CPI,0.5291081682415637
TORNTPOWER.NS,GDP,0.6519019537257087
TORNTPOWER.NS,IIP,0.49918642380600975
TORNTPOWER.NS,CPI,0.5571599025638998
BANKINDIA.NS,GDP,1.0387609493135006
BANKINDIA.NS,IIP,0.7950896900477685
BANKINDIA.NS,CPI,0.7278183041209477
LICHSGFIN.NS,GDP,1.063856304508673
LICHSGFIN.NS,IIP,0.6522740622259784
LICHSGFIN.NS,CPI,0.750769681309065
RPOWER.NS,GDP,0.9347284536853081
RPOWER.NS,IIP,0.8441957864762224
RPOWER.NS,CPI,0.7520472023059045
CESC.NS,GDP,0.7477384283916471
CESC.NS,IIP,0.5906050908891353
CESC.NS,CPI,0.5737014204862482
TECHNOE.NS,GDP,0.5377315999583152
TECHNOE.NS,IIP,0.4078311398877678
TECHNOE.NS,CPI,0.545127514380415
SUNPHARMA.NS,GDP,0.5116301493890234
SUNPHARMA.NS,IIP,0.29823703670556617
SUNPHARMA.NS,CPI,0.4905017254166362
SKFINDIA.NS,GDP,0.3904341921075942
SKFINDIA.NS,IIP,0.26103779153282974
SKFINDIA.NS,CPI,0.3304103695107266
NETWORK18.NS,GDP,0.8779577484360838
NETWORK18.NS,IIP,0.7287564428261676
NETWORK18.NS,CPI,0.8035529325303615
BATAINDIA.NS,GDP,0.7322034281590741
BATAINDIA.NS,IIP,0.46582362973169333
BATAINDIA.NS,CPI,1.0963128689825685
TATASTEEL.NS,GDP,0.9139746544232104
TATASTEEL.NS,IIP,0.6830336445095448
TATASTEEL.NS,CPI,0.6193661638574344
ASAHIINDIA.NS,GDP,0.7154503129115816
ASAHIINDIA.NS,IIP,0.5167436041499822
ASAHIINDIA.NS,CPI,0.577258348127786
UNOMINDA.NS,GDP,0.6556364545441894
UNOMINDA.NS,IIP,0.47197902152852106
UNOMINDA.NS,CPI,0.5684405748603755
EIHOTEL.NS,GDP,0.6147942904401417
EIHOTEL.NS,IIP,0.44043329340733495
EIHOTEL.NS,CPI,0.5352122092736679
EMAMILTD.NS,GDP,0.5061592383651946
EMAMILTD.NS,IIP,0.29849907723100694
EMAMILTD.NS,CPI,0.49156119910862145
SUPREMEIND.NS,GDP,0.44116884510247256
SUPREMEIND.NS,IIP,0.26934158209557857
SUPREMEIND.NS,CPI,0.4254793223073242
BRIGADE.NS,GDP,0.712191322375531
BRIGADE.NS,IIP,0.513445093336717
BRIGADE.NS,CPI,0.5763653798899879
GRASIM.NS,GDP,0.8130827393741873
GRASIM.NS,IIP,0.4328150787030199
GRASIM.NS,CPI,0.5441410895661001
GESHIP.NS,GDP,0.6025262040624157
GESHIP.NS,IIP,0.4534066663722288
GESHIP.NS,CPI,0.537231542571694
SHREECEM.NS,GDP,0.6374824589377217
SHREECEM.NS,IIP,0.3104217371698274
SHREECEM.NS,CPI,0.49130599807246744
VOLTAS.NS,GDP,0.8709013817709247
VOLTAS.NS,IIP,0.5779405858521315
